State,Sex,Age Group,Bachelor's Degree Holders,Science and Engineering,Science and Engineering Related Fields,Business,Education,"Arts, Humanities and Others"
1,1,20,"405,618","159,366","26,004","113,909","29,490","76,849"
1,1,25,"117,794","50,188","7,712","29,859","6,357","23,678"
1,1,40,"184,328","67,977","12,331","54,931","12,820","36,269"
1,1,65,"103,496","41,201","5,961","29,119","10,313","16,902"
1,2,20,"479,739","104,189","72,441","96,238","111,581","95,290"
1,2,25,"151,130","40,548","24,666","28,656","22,985","34,275"
1,2,40,"234,152","47,785","34,393","57,340","51,055","43,579"
1,2,65,"94,457","15,856","13,382","10,242","37,541","17,436"
2,1,20,"65,820","30,952","3,713","11,869","4,418","14,868"
2,1,25,"19,873","8,235","1,205","4,133",638,"5,662"
2,1,40,"31,153","14,219","1,885","5,741","2,134","7,174"
2,1,65,"14,794","8,498",623,"1,995","1,646","2,032"
2,2,20,"80,337","26,423","10,513","10,638","12,865","19,898"
2,2,25,"27,635","10,562","3,166","2,923","3,152","7,832"
2,2,40,"39,635","13,103","5,462","6,317","5,684","9,069"
2,2,65,"13,067","2,758","1,885","1,398","4,029","2,997"
3,1,20,"724,089","318,272","41,173","176,486","45,631","142,527"
3,1,25,"204,008","96,558","10,795","41,656","7,201","47,798"
3,1,40,"304,776","131,783","18,405","79,289","16,275","59,024"
3,1,65,"215,305","89,931","11,973","55,541","22,155","35,705"
3,2,20,"768,069","194,446","110,712","136,017","151,704","175,190"
3,2,40,"347,368","87,127","46,596","82,006","59,276","72,363"
3,2,65,"190,101","33,490","30,579","20,044","66,210","39,778"
4,1,20,"215,284","84,436","15,412","54,738","19,613","41,085"
4,1,25,"70,128","30,470","4,672","14,989","3,960","16,037"
4,1,40,"91,994","33,698","6,862","27,356","7,430","16,648"
4,1,65,"53,162","20,268","3,878","12,393","8,223","8,400"
4,2,20,"260,083","54,567","39,091","45,282","66,643","54,500"
4,2,25,"85,526","22,974","14,235","13,613","13,761","20,943"
4,2,40,"120,392","24,173","18,022","25,387","27,316","25,494"
4,2,65,"54,165","7,420","6,834","6,282","25,566","8,063"
5,1,20,"4,559,964","2,275,829","242,881","914,899","139,456","986,899"
5,1,25,"1,579,359","792,275","82,916","297,333","23,773","383,062"
5,1,40,"2,015,709","999,694","112,229","424,699","55,912","423,175"
5,1,65,"964,896","483,860","47,736","192,867","59,771","180,662"
5,2,20,"4,868,520","1,653,732","538,515","806,195","440,910","1,429,168"
5,2,25,"1,798,257","702,472","183,798","283,187","77,446","551,354"
5,2,40,"2,151,973","716,826","236,197","421,892","167,718","609,340"
5,2,65,"918,290","234,434","118,520","101,116","195,746","268,474"
6,1,20,"828,932","390,912","41,059","193,943","34,466","168,552"
6,1,25,"281,318","139,375","12,237","61,425","5,057","63,224"
6,1,40,"371,241","169,247","19,088","93,253","13,436","76,217"
6,1,65,"176,373","82,290","9,734","39,265","15,973","29,111"
6,2,20,"866,670","271,924","102,303","153,390","114,131","224,922"
6,2,25,"324,098","120,142","36,014","57,046","26,015","84,881"
6,2,40,"387,647","118,245","43,998","81,718","44,443","99,243"
6,2,65,"154,925","33,537","22,291","14,626","43,673","40,798"
7,1,20,"467,050","208,953","24,020","112,709","21,766","99,602"
7,1,25,"133,964","60,438","8,275","28,286","4,080","32,885"
7,1,40,"222,017","100,396","10,980","59,435","6,946","44,260"
7,1,65,"111,069","48,119","4,765","24,988","10,740","22,457"
7,2,20,"527,498","152,154","64,451","83,922","79,910","147,061"
7,2,25,"161,936","54,157","19,815","28,383","14,795","44,786"
7,2,40,"261,250","75,819","30,825","49,228","33,736","71,642"
7,2,65,"104,312","22,178","13,811","6,311","31,379","30,633"
8,1,20,"106,244","43,705","4,628","27,291","6,302","24,318"
8,1,25,"27,733","13,076","1,328","6,663",808,"5,858"
8,1,40,"48,326","16,674","1,799","14,308","2,832","12,713"
8,1,65,"30,185","13,955","1,501","6,320","2,662","5,747"
8,2,20,"121,955","31,918","18,379","19,526","23,406","28,726"
8,2,25,"35,061","11,114","5,363","4,712","4,800","9,072"
8,2,40,"60,690","16,421","9,222","12,193","9,848","13,006"
